Invoice_Number,Invoice_Date,Customer_ID,Country,Product,Quantity,Amount
INV-100042,2024-11-22 21:28:17,CUST-4931,Netherlands,Headphones,7,2792.13
INV-100043,2025-10-30 11:34:54,CUST-2559,Netherlands,Monitor,8,4956.83
INV-100044,2025-08-22 08:21:03,CUST-2714,Spain,Printer,9,4141.36
INV-100045,2024-11-19 07:14:52,CUST-8931,France,Keyboard,5,2485.65
INV-100046,2025-02-27 00:37:07,CUST-6785,Ireland,Monitor,9,2920.24
INV-100047,2024-08-19 13:18:45,CUST-3208,Netherlands,Speaker,8,6572.26
INV-100048,2025-01-02 14:18:04,CUST-3345,Spain,Keyboard,4,2077.06
INV-100049,2025-01-18 09:28:31,CUST-6368,Ireland,Smartphone,4,1716.32
INV-100050,2024-05-09 09:31:24,CUST-5676,Netherlands,Speaker,6,663.14
INV-100051,2024-02-25 05:58:52,CUST-3938,UK,Speaker,5,606.54
INV-100052,2024-12-06 12:54:50,CUST-1371,France,Speaker,3,3549.35
INV-100053,2025-08-28 16:43:36,CUST-4512,Ireland,Speaker,4,1919.15
INV-100054,2024-05-30 19:09:28,CUST-5856,Germany,Speaker,5,3505.44
INV-100055,2025-05-10 01:35:27,CUST-6630,Germany,Keyboard,2,1357.83
INV-100056,2025-01-06 16:06:18,CUST-7087,Germany,Mouse,2,1600.22
INV-100057,2025-02-28 22:18:27,CUST-2354,Spain,Mouse,5,1714.3
INV-100058,2024-02-21 00:31:52,CUST-2312,UK,Headphones,5,1887.19
INV-100059,2024-05-19 06:31:33,CUST-2970,France,Headphones,9,3369.44
INV-100060,2024-10-17 10:32:54,CUST-9034,France,Keyboard,2,2159.32
INV-100061,2023-12-23 21:11:59,CUST-4091,Germany,Webcam,7,5025.92
INV-100062,2024-12-24 10:51:05,CUST-3282,Ireland,Smartphone,7,8261.64
INV-100063,2025-06-02 21:41:12,CUST-8651,Spain,Speaker,8,6870.8
INV-100064,2025-03-19 08:03:37,CUST-2733,Germany,Mouse,9,6681.45
INV-100065,2024-03-20 23:13:01,CUST-4335,Germany,Headphones,2,1129.7
INV-100066,2024-04-24 04:25:16,CUST-4826,Netherlands,Headphones,4,4489.47
INV-100067,2025-02-07 13:30:28,CUST-5437,Netherlands,Tablet,6,4539.2
INV-100068,2024-11-23 20:57:20,CUST-1126,UK,Mouse,8,4467.07
INV-100069,2024-12-09 08:27:28,CUST-1454,UK,Headphones,6,6648.1
INV-100070,2024-01-30 13:35:35,CUST-8100,Netherlands,Printer,3,1425.26
INV-100071,2024-03-23 00:21:24,CUST-2140,Netherlands,Mouse,10,5125.48
INV-100072,2024-08-17 18:22:01,CUST-7053,France,Headphones,6,7156.23
INV-100073,2024-11-16 11:09:29,CUST-1122,Ireland,Printer,7,7903.79
INV-100074,2024-10-01 02:27:04,CUST-1393,UK,Speaker,5,3351.43
INV-100075,2025-04-29 13:10:41,CUST-2698,Ireland,Mouse,4,2383.31
INV-100076,2024-05-09 16:22:34,CUST-9566,UK,Mouse,10,3604.85
INV-100077,2025-02-21 17:24:43,CUST-5237,Netherlands,Monitor,2,1184.15
INV-100078,2025-05-08 13:54:27,CUST-7943,Netherlands,Headphones,7,8323.67
INV-100079,2024-06-24 03:58:36,CUST-2582,Ireland,Keyboard,4,2551.41
INV-100080,2024-08-08 12:35:11,CUST-5141,UK,Monitor,5,590.67
INV-100081,2024-12-13 19:06:47,CUST-1395,Netherlands,Keyboard,6,3805.31
INV-100082,2024-05-21 13:28:42,CUST-9748,Germany,Tablet,8,2656.54
INV-100083,2023-12-23 01:13:33,CUST-3350,UK,Speaker,2,1127.11
INV-100084,2025-11-23 03:47:55,CUST-5809,Spain,Speaker,3,2633.84
INV-100085,2025-12-03 23:36:30,CUST-4079,Spain,Laptop,3,1256.8
INV-100086,2025-06-28 15:54:51,CUST-5335,Germany,Monitor,9,10130.61
INV-100087,2025-08-26 21:40:10,CUST-1524,Ireland,Printer,2,1021.3
INV-100088,2024-12-05 17:02:16,CUST-4381,Netherlands,Keyboard,1,841.46
INV-100089,2024-12-20 11:20:45,CUST-2307,Ireland,Laptop,2,2361.42
INV-100090,2024-06-25 09:19:30,CUST-1474,Netherlands,Headphones,2,75.65
INV-100091,2025-05-23 19:33:31,CUST-1292,France,Mouse,1,753.38
INV-100092,2025-07-03 17:58:31,CUST-4384,Netherlands,Headphones,2,1746.4
INV-100093,2025-02-19 17:47:47,CUST-9421,UK,Printer,6,2563.92
INV-100094,2024-04-17 02:36:45,CUST-6570,France,Smartphone,9,2811.89
INV-100095,2024-05-31 07:55:19,CUST-1041,UK,Webcam,7,8310.72
INV-100096,2024-09-06 02:32:37,CUST-2802,Netherlands,Printer,3,968.77
INV-100097,2025-11-06 07:59:59,CUST-8493,France,Headphones,6,2218.05
INV-100098,2024-08-12 05:11:44,CUST-2046,Germany,Keyboard,10,9088.22
INV-100099,2025-10-08 00:44:24,CUST-7934,UK,Tablet,8,7073.41
INV-100100,2025-03-10 06:47:48,CUST-6981,France,Headphones,1,1168.11
INV-100101,2025-12-18 02:32:38,CUST-1160,Germany,Speaker,9,8799.99
INV-100102,2024-11-11 23:44:45,CUST-1328,UK,Smartphone,6,2182.32
INV-100103,2025-08-07 23:32:27,CUST-7611,Germany,Smartphone,10,10337.19
INV-100104,2025-01-23 07:29:47,CUST-4902,Ireland,Mouse,7,8386.03
INV-100105,2025-03-09 05:14:02,CUST-8782,Netherlands,Mouse,1,760.74
INV-100106,2025-05-23 03:38:56,CUST-4175,Spain,Mouse,9,9367.71
INV-100107,2025-06-30 14:40:17,CUST-8252,France,Smartphone,2,901.48
INV-100108,2025-01-15 22:39:40,CUST-7967,Ireland,Smartphone,4,3075.77
INV-100109,2025-11-29 10:15:54,CUST-4306,Netherlands,Printer,2,1493.4
INV-100110,2025-08-09 13:17:33,CUST-5223,Germany,Monitor,1,1055.86
INV-100111,2025-02-19 23:08:14,CUST-1127,Spain,Laptop,2,2165.97
INV-100112,2024-01-22 22:26:16,CUST-8506,France,Smartphone,1,267.42
INV-100113,2025-09-27 23:27:06,CUST-7700,Netherlands,Webcam,2,2099.78
INV-100114,2025-10-13 20:53:18,CUST-5418,Netherlands,Mouse,5,1755.3
INV-100115,2025-09-16 21:37:57,CUST-8398,Spain,Keyboard,5,5790.52
INV-100116,2024-09-09 13:29:00,CUST-9950,Netherlands,Tablet,4,4245.58
INV-100117,2025-03-13 03:26:02,CUST-7269,UK,Speaker,8,7654.63
INV-100118,2025-01-07 05:46:03,CUST-2732,Spain,Monitor,10,2839.54
INV-100119,2024-07-19 06:19:35,CUST-3020,UK,Webcam,8,6782.34
INV-100120,2025-07-27 05:59:43,CUST-4713,France,Headphones,5,1654.97
INV-100121,2024-03-12 20:15:33,CUST-6045,Netherlands,Printer,6,3827.03
INV-100122,2025-01-23 22:54:09,CUST-7735,Spain,Webcam,5,3491.43
INV-100123,2025-02-17 01:55:31,CUST-1854,UK,Keyboard,7,2861.69
INV-100124,2025-09-07 01:32:01,CUST-8073,Germany,Laptop,4,3471.43
INV-100125,2025-10-27 00:28:46,CUST-2350,UK,Keyboard,9,4383.8
INV-100126,2025-05-14 09:35:04,CUST-9916,Spain,Mouse,7,7145.63
INV-100127,2025-11-18 18:38:00,CUST-6430,UK,Smartphone,5,2979.64
INV-100128,2025-01-22 22:42:19,CUST-1236,Ireland,Speaker,8,943.69
INV-100129,2025-08-04 19:53:48,CUST-1105,Ireland,Printer,7,1152.28
INV-100130,2025-04-01 11:44:02,CUST-1743,Netherlands,Speaker,2,1653.88
INV-100131,2025-09-06 15:29:52,CUST-3764,UK,Mouse,5,153.62
INV-100132,2024-07-22 03:55:20,CUST-9044,Germany,Speaker,3,1124.3
INV-100133,2025-05-17 13:40:07,CUST-9975,Ireland,Speaker,3,2415.49
INV-100134,2025-09-11 12:40:58,CUST-5640,Spain,Mouse,5,5410.0
INV-100135,2024-12-13 16:50:53,CUST-5739,Ireland,Laptop,8,1816.04
INV-100136,2025-12-13 21:36:42,CUST-1942,Germany,Laptop,4,3793.47
INV-100137,2025-06-24 10:31:54,CUST-6648,Ireland,Speaker,10,6049.42
INV-100138,2024-03-17 00:46:47,CUST-3662,Netherlands,Speaker,3,2598.44
INV-100139,2025-04-15 05:06:06,CUST-3083,France,Laptop,3,1255.61
INV-100140,2025-06-02 07:34:15,CUST-3893,Netherlands,Mouse,5,309.99
INV-100141,2024-08-18 09:17:52,CUST-6802,Germany,Headphones,9,4933.53
INV-100142,2024-06-13 16:06:24,CUST-6431,Ireland,Headphones,5,3349.65
INV-100143,2024-07-12 19:50:56,CUST-8261,Spain,Smartphone,7,2034.2
INV-100144,2024-07-14 03:27:21,CUST-5775,Ireland,Monitor,9,10715.54
INV-100145,2024-02-25 13:02:01,CUST-7224,Ireland,Keyboard,8,2359.49
INV-100146,2025-12-08 19:18:48,CUST-3201,Germany,Smartphone,2,2392.03
INV-100147,2025-12-06 16:59:35,CUST-6829,Spain,Mouse,1,797.64
INV-100148,2023-12-24 05:40:33,CUST-3648,Ireland,Smartphone,10,3791.89
INV-100149,2024-11-16 06:05:04,CUST-5188,France,Headphones,6,3180.91
INV-100150,2024-03-05 05:04:35,CUST-7657,Germany,Headphones,6,1204.46
INV-100151,2025-05-24 06:27:49,CUST-9175,Germany,Mouse,9,6870.74
INV-100152,2025-07-08 20:20:34,CUST-4693,Ireland,Webcam,8,8414.1
INV-100153,2024-07-26 13:42:42,CUST-1479,UK,Laptop,7,4041.91
INV-100154,2025-05-14 19:05:27,CUST-1859,Ireland,Monitor,2,461.37
INV-100155,2025-02-16 05:45:16,CUST-2322,Germany,Mouse,5,2474.66
INV-100156,2025-11-20 06:53:10,CUST-9069,Spain,Headphones,9,6161.86
INV-100157,2025-05-28 16:54:38,CUST-2456,Netherlands,Monitor,1,1045.12
INV-100158,2024-09-25 03:00:54,CUST-1689,UK,Keyboard,1,473.54
INV-100159,2024-02-23 23:47:19,CUST-8838,France,Laptop,1,457.88
INV-100160,2025-12-17 08:52:10,CUST-4927,Ireland,Keyboard,7,5020.61
INV-100161,2025-02-13 23:14:02,CUST-6111,Netherlands,Laptop,10,11129.19
INV-100162,2024-12-04 00:38:05,CUST-8457,Spain,Headphones,3,1970.17
INV-100163,2025-05-18 19:45:56,CUST-3337,France,Keyboard,3,934.01
INV-100164,2024-09-20 19:56:45,CUST-9507,Spain,Printer,3,689.09
INV-100165,2024-05-25 04:59:09,CUST-8611,UK,Printer,2,1799.06
INV-100166,2024-03-04 16:25:29,CUST-4497,Germany,Laptop,7,3418.45
INV-100167,2025-10-11 00:50:12,CUST-6708,France,Laptop,8,8936.14
INV-100168,2024-02-19 01:50:17,CUST-4987,France,Webcam,7,4987.51
INV-100169,2024-08-03 20:50:44,CUST-1569,Netherlands,Mouse,10,5276.46
INV-100170,2024-04-29 14:09:37,CUST-2515,UK,Laptop,9,8258.39
INV-100171,2024-09-12 08:23:15,CUST-4254,Germany,Speaker,7,3006.27
INV-100172,2024-01-03 17:18:30,CUST-8887,Germany,Speaker,5,4655.28
INV-100173,2025-04-21 07:15:09,CUST-1178,France,Monitor,2,1701.11
INV-100174,2025-07-14 06:07:41,CUST-6088,Ireland,Headphones,6,5354.04
INV-100175,2025-03-22 05:42:00,CUST-3805,Netherlands,Keyboard,2,1933.91
INV-100176,2025-07-01 08:33:11,CUST-2249,Spain,Webcam,9,7238.56
INV-100177,2024-11-14 06:57:26,CUST-8569,Spain,Tablet,2,526.12
INV-100178,2024-12-23 15:07:46,CUST-9724,UK,Webcam,1,914.97
INV-100179,2024-10-07 01:02:38,CUST-8502,France,Printer,7,6968.71
INV-100180,2024-06-05 06:06:33,CUST-6408,France,Laptop,10,3116.92
INV-100181,2025-12-10 06:33:13,CUST-9795,Netherlands,Tablet,2,56.84
INV-100182,2024-03-12 18:49:58,CUST-9038,UK,Tablet,9,10712.34
INV-100183,2025-08-05 06:32:27,CUST-1901,Germany,Monitor,5,2119.18
INV-100184,2025-02-26 15:28:15,CUST-2468,Netherlands,Smartphone,6,1477.0
INV-100185,2024-01-01 12:10:06,CUST-8009,Ireland,Smartphone,1,769.05
INV-100186,2025-05-15 16:26:55,CUST-2515,Spain,Tablet,2,112.76
INV-100187,2024-02-11 00:02:23,CUST-9651,Germany,Laptop,4,3868.85
INV-100188,2025-07-14 10:41:13,CUST-8360,France,Smartphone,4,3650.61
INV-100189,2024-02-05 06:34:52,CUST-3975,France,Tablet,1,173.14
INV-100190,2024-02-25 06:33:39,CUST-1978,Spain,Speaker,7,4365.12
INV-100191,2024-12-27 06:12:37,CUST-6822,Ireland,Smartphone,1,956.77
INV-100192,2024-12-31 17:43:14,CUST-5743,Spain,Webcam,9,2943.29
INV-100193,2025-09-03 03:23:30,CUST-6092,Spain,Speaker,4,2345.64
INV-100194,2025-02-02 07:31:50,CUST-8718,Germany,Tablet,9,10674.41
INV-100195,2024-07-28 11:30:00,CUST-4505,Spain,Headphones,9,9158.37
INV-100196,2025-11-23 01:03:52,CUST-6608,Spain,Tablet,5,2719.78
INV-100197,2024-03-19 14:01:05,CUST-5882,Spain,Speaker,6,6891.16
INV-100198,2025-09-04 18:19:29,CUST-3611,Spain,Printer,8,4818.58
INV-100199,2025-05-17 20:18:20,CUST-6208,Spain,Headphones,2,72.68
INV-100200,2025-10-17 07:24:42,CUST-5603,Germany,Headphones,5,5497.96
INV-100201,2024-07-04 16:13:17,CUST-4586,Ireland,Monitor,6,299.33
INV-100202,2025-06-11 21:41:57,CUST-1717,France,Speaker,10,1347.45
INV-100203,2024-03-28 21:15:13,CUST-5309,Spain,Webcam,9,6883.83
INV-100204,2025-12-01 22:43:32,CUST-9877,UK,Printer,5,4100.06
INV-100205,2024-01-31 16:42:17,CUST-8895,Netherlands,Smartphone,8,6435.92
INV-100206,2024-01-07 05:57:46,CUST-5077,UK,Monitor,5,1204.07
INV-100207,2024-06-11 02:11:28,CUST-6697,Spain,Headphones,1,447.3
INV-100208,2025-09-01 13:14:12,CUST-9841,France,Mouse,8,340.71
INV-100209,2025-11-30 19:40:03,CUST-7195,Netherlands,Tablet,2,651.92
INV-100210,2024-10-29 20:27:45,CUST-4695,France,Speaker,6,134.17
INV-100211,2025-03-14 19:38:04,CUST-3813,Spain,Tablet,10,10155.36
INV-100212,2025-05-14 01:02:09,CUST-5451,Netherlands,Laptop,2,752.0
INV-100213,2024-11-04 00:28:01,CUST-6371,Spain,Headphones,2,488.2
INV-100214,2024-09-16 23:57:22,CUST-5337,France,Tablet,9,6187.91
INV-100215,2025-06-29 05:41:02,CUST-9091,Spain,Keyboard,5,5335.86
INV-100216,2025-02-26 15:35:09,CUST-9607,Spain,Keyboard,3,1323.8
INV-100217,2025-10-19 07:05:50,CUST-3316,Spain,Webcam,3,484.2
INV-100218,2025-03-27 17:56:16,CUST-9164,Ireland,Webcam,5,380.44
INV-100219,2025-02-12 15:12:08,CUST-2837,Spain,Smartphone,3,438.9
INV-100220,2024-11-05 07:05:11,CUST-7624,France,Laptop,3,554.28
INV-100221,2025-10-12 15:03:28,CUST-6492,Spain,Monitor,6,1617.42
INV-100222,2025-10-16 08:09:33,CUST-9292,France,Tablet,10,5760.71
INV-100223,2025-11-16 07:42:39,CUST-4234,Spain,Smartphone,8,8923.39
INV-100224,2025-10-29 16:14:39,CUST-9595,UK,Keyboard,10,1137.39
INV-100225,2024-01-22 05:25:36,CUST-3744,France,Smartphone,5,998.0
INV-100226,2025-09-19 09:02:50,CUST-1827,Ireland,Smartphone,2,854.36
INV-100227,2025-09-04 01:40:47,CUST-4078,UK,Mouse,7,6582.4
INV-100228,2025-11-13 23:02:40,CUST-8800,UK,Laptop,7,5375.46
INV-100229,2025-07-22 01:53:56,CUST-6276,Germany,Keyboard,7,4686.8
INV-100230,2024-03-01 13:18:38,CUST-6683,Spain,Webcam,8,4533.46
INV-100231,2024-07-14 08:27:27,CUST-9579,Spain,Tablet,1,65.5
INV-100232,2024-09-03 19:05:51,CUST-2352,France,Keyboard,2,1095.01
INV-100233,2025-03-03 11:14:14,CUST-2245,Ireland,Tablet,8,8849.94
INV-100234,2024-09-02 08:42:50,CUST-6825,Germany,Keyboard,9,5330.57
INV-100235,2024-03-20 14:27:49,CUST-8768,Netherlands,Speaker,3,3427.39
INV-100236,2025-05-07 21:34:47,CUST-4937,Germany,Smartphone,7,258.44
INV-100237,2024-08-20 14:09:34,CUST-2223,Spain,Mouse,1,336.86
INV-100238,2024-05-10 05:23:13,CUST-6054,Netherlands,Monitor,2,583.04
INV-100239,2025-02-12 21:31:25,CUST-4312,Ireland,Laptop,7,6406.84
INV-100240,2024-03-06 13:48:41,CUST-3950,France,Printer,2,435.99
INV-100241,2024-12-03 09:02:17,CUST-6280,France,Headphones,2,282.52
INV-100242,2024-11-09 16:27:05,CUST-2482,France,Mouse,9,7767.09
INV-100243,2024-12-04 08:00:42,CUST-1036,France,Smartphone,9,1846.76
INV-100244,2025-12-17 15:23:36,CUST-1281,Ireland,Mouse,7,6115.78
INV-100245,2025-01-19 16:06:20,CUST-1813,Ireland,Mouse,10,6232.98
INV-100246,2025-03-20 11:14:57,CUST-2213,Netherlands,Printer,5,3592.81
INV-100247,2024-05-04 04:51:49,CUST-8386,Ireland,Mouse,10,9387.4
INV-100248,2025-06-04 17:18:33,CUST-6313,Germany,Headphones,10,210.23
INV-100249,2025-07-14 11:59:22,CUST-5893,France,Webcam,10,10266.4
INV-100250,2024-12-13 15:45:50,CUST-7314,UK,Tablet,10,10165.27
INV-100251,2024-02-24 06:16:24,CUST-5455,Germany,Speaker,10,6176.32
INV-100252,2025-05-12 16:59:11,CUST-3509,Spain,Headphones,4,451.59
INV-100253,2025-11-24 22:10:59,CUST-8577,France,Printer,10,2542.72
INV-100254,2024-12-11 16:30:07,CUST-3615,Ireland,Speaker,1,574.36
INV-100255,2024-09-29 11:27:46,CUST-2224,Netherlands,Tablet,5,3669.56
INV-100256,2024-12-31 16:08:13,CUST-4502,Netherlands,Monitor,5,5627.89
INV-100257,2023-12-30 16:59:56,CUST-2270,UK,Smartphone,7,8225.82
INV-100258,2023-12-27 22:48:01,CUST-2937,Ireland,Tablet,7,3175.42
INV-100259,2025-01-12 19:55:53,CUST-9908,France,Headphones,1,651.02
INV-100260,2025-05-18 19:34:05,CUST-7022,France,Mouse,7,3167.72
INV-100261,2025-12-06 22:06:42,CUST-9582,UK,Mouse,7,1923.36
INV-100262,2024-11-10 11:24:38,CUST-2036,France,Speaker,7,3312.3
INV-100263,2024-03-31 16:40:47,CUST-4004,Netherlands,Monitor,5,1733.1
INV-100264,2025-08-02 11:57:41,CUST-7020,Spain,Webcam,10,4058.75
INV-100265,2024-10-06 13:20:09,CUST-3670,France,Headphones,3,1497.63
INV-100266,2025-08-23 05:53:00,CUST-7450,UK,Speaker,2,1939.69
INV-100267,2024-06-08 09:38:50,CUST-8157,France,Printer,2,2144.28
INV-100268,2025-11-06 01:43:49,CUST-5295,UK,Webcam,1,503.52
INV-100269,2025-12-15 17:51:19,CUST-1454,Ireland,Keyboard,2,2189.14
INV-100270,2025-07-23 12:44:27,CUST-6359,Netherlands,Headphones,3,2563.34
INV-100271,2024-11-03 11:03:33,CUST-5172,Ireland,Speaker,2,2239.4
INV-100272,2025-06-29 09:59:41,CUST-4886,Germany,Tablet,6,350.37
INV-100273,2025-03-16 10:03:11,CUST-3943,Ireland,Laptop,2,1659.58
INV-100274,2024-06-11 14:48:34,CUST-5141,Ireland,Smartphone,5,3792.38
INV-100275,2024-05-18 07:02:23,CUST-8437,France,Monitor,6,5977.86
INV-100276,2025-04-05 17:57:19,CUST-6594,France,Printer,4,804.81
INV-100277,2024-10-17 11:14:42,CUST-9580,Netherlands,Smartphone,5,3884.62
INV-100278,2024-11-08 02:07:15,CUST-5991,UK,Headphones,1,26.67
INV-100279,2025-08-09 04:43:14,CUST-8512,Spain,Smartphone,8,2904.18
INV-100280,2024-01-02 00:37:50,CUST-3145,Germany,Tablet,9,924.27
INV-100281,2024-02-23 14:19:59,CUST-3090,France,Keyboard,4,4273.56
INV-100282,2025-08-25 14:43:00,CUST-4162,Spain,Tablet,3,139.07
INV-100283,2025-08-27 04:28:40,CUST-4479,Netherlands,Keyboard,6,5076.6
INV-100284,2024-08-21 04:26:23,CUST-7076,Ireland,Smartphone,3,2242.38
INV-100285,2025-09-07 21:27:17,CUST-3215,UK,Tablet,5,823.89
INV-100286,2025-04-04 12:03:45,CUST-6309,UK,Speaker,9,1738.58
INV-100287,2024-08-15 03:10:36,CUST-4075,UK,Monitor,9,2566.8
INV-100288,2024-09-14 09:42:16,CUST-2933,Germany,Printer,6,2028.22
INV-100289,2025-12-02 08:47:31,CUST-2201,Spain,Laptop,3,2797.18
INV-100290,2025-06-27 10:53:27,CUST-7750,UK,Keyboard,3,1129.51
INV-100291,2025-02-21 14:18:10,CUST-2491,Spain,Printer,1,973.58
INV-100292,2025-04-30 22:03:05,CUST-7002,UK,Mouse,10,1296.41
INV-100293,2024-07-27 04:25:12,CUST-1498,UK,Keyboard,10,7710.09
INV-100294,2025-11-13 04:22:56,CUST-9241,Germany,Printer,9,5800.48
INV-100295,2024-12-04 03:35:40,CUST-4386,Spain,Speaker,10,6860.17
INV-100296,2024-06-28 00:02:51,CUST-1248,Ireland,Mouse,7,4952.79
INV-100297,2024-05-20 19:56:19,CUST-8824,UK,Printer,5,5137.49
INV-100298,2024-08-31 04:30:20,CUST-6140,Ireland,Laptop,10,2687.54
INV-100299,2024-03-04 12:49:58,CUST-1887,Netherlands,Keyboard,5,596.61
INV-100300,2024-11-23 10:37:00,CUST-1592,Spain,Smartphone,1,1058.47
INV-100301,2025-01-05 17:43:39,CUST-9642,Spain,Speaker,6,1244.51
INV-100302,2024-09-17 14:07:53,CUST-4575,Ireland,Tablet,4,4158.96
INV-100303,2025-03-21 02:43:22,CUST-6326,Ireland,Headphones,1,593.01
INV-100304,2025-02-11 13:12:49,CUST-5378,France,Printer,2,998.23
INV-100305,2025-01-23 22:23:14,CUST-2351,UK,Mouse,7,7034.7
INV-100306,2025-07-15 23:16:38,CUST-5992,Ireland,Laptop,6,339.49
INV-100307,2023-12-28 20:41:34,CUST-3395,France,Smartphone,4,2118.75
INV-100308,2025-12-07 15:28:51,CUST-8239,Spain,Webcam,1,859.03
INV-100309,2025-11-20 04:44:33,CUST-5920,Spain,Laptop,2,303.64
INV-100310,2025-06-13 04:15:28,CUST-3377,Ireland,Mouse,3,89.39
INV-100311,2025-03-25 13:29:13,CUST-5321,Germany,Keyboard,7,4275.22
INV-100312,2025-03-29 07:40:42,CUST-8637,Germany,Speaker,2,1975.87
INV-100313,2024-12-13 13:23:46,CUST-4913,Spain,Mouse,7,1619.42
INV-100314,2025-07-09 07:35:49,CUST-5870,Netherlands,Laptop,9,3618.89
INV-100315,2024-07-21 13:51:45,CUST-6512,Germany,Smartphone,8,906.64
INV-100316,2025-09-02 04:44:30,CUST-6774,Spain,Printer,3,3344.21
INV-100317,2025-07-27 23:27:46,CUST-7690,Netherlands,Headphones,4,4298.88
INV-100318,2024-11-18 02:38:31,CUST-9677,UK,Speaker,7,4536.59
INV-100319,2025-11-07 14:36:46,CUST-5752,UK,Headphones,5,2936.7
INV-100320,2024-05-03 14:09:10,CUST-4264,France,Laptop,2,1769.29
INV-100321,2025-11-29 16:14:26,CUST-4143,Germany,Speaker,1,1043.57
INV-100322,2024-07-11 15:45:48,CUST-3812,Germany,Printer,10,1415.59
INV-100323,2024-01-13 12:52:38,CUST-1034,UK,Printer,5,4694.88
INV-100324,2025-11-26 07:36:40,CUST-3138,UK,Webcam,7,5210.4
INV-100325,2024-09-27 15:10:50,CUST-6129,UK,Laptop,7,7533.86
INV-100326,2024-11-26 18:15:11,CUST-9984,Spain,Keyboard,3,2107.38
INV-100327,2025-07-23 21:23:36,CUST-6555,Spain,Monitor,9,2315.38
INV-100328,2025-02-10 22:57:29,CUST-4724,Ireland,Webcam,10,910.42
INV-100329,2024-08-27 00:34:19,CUST-3715,France,Laptop,5,5240.14
INV-100330,2025-08-06 12:56:45,CUST-8986,Netherlands,Headphones,8,7029.09
INV-100331,2024-04-29 10:11:20,CUST-2758,Spain,Keyboard,8,7350.29
